ticker,security_name,listing_exchange,market_category,is_etf,is_test_issue,financial_status,cqs_symbol,nasdaq_symbol,is_nextshares
A,"Agilent Technologies, Inc. Common Stock",N, ,N,N,,A,A,N
AA,Alcoa Corporation Common Stock ,N, ,N,N,,AA,AA,N
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,Q,G,N,N,D,,AACB,N
AACBR,Artius II Acquisition Inc. - Rights,Q,G,N,N,N,,AACBR,N
AACBU,Artius II Acquisition Inc. - Units,Q,G,N,N,N,,AACBU,N
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,S,N,N,N,,AACG,N
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,Q,G,N,N,N,,AACI,N
AACIU,Armada Acquisition Corp. III - Units,Q,G,N,N,N,,AACIU,N
AACIW,Armada Acquisition Corp. III - Warrant,Q,G,N,N,N,,AACIW,N
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,Q,G,N,N,N,,AACO,N
AACOU,Abony Acquisition Corp. I - Units,Q,G,N,N,N,,AACOU,N
AACOW,Abony Acquisition Corp. I - Warrants,Q,G,N,N,N,,AACOW,N
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,Q,G,N,N,N,,AACP,N
AACPR,Apogee Acquisition Corp - Rights,Q,G,N,N,N,,AACPR,N
AACPU,Apogee Acquisition Corp - Units,Q,G,N,N,N,,AACPU,N
AACPW,Apogee Acquisition Corp - Warrant,Q,G,N,N,N,,AACPW,N
AADX,"Applied Aerospace & Defense, Inc. Common Stock",N, ,N,N,,AADX,AADX,N
AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N,N,N,,AAL,N
AAME,Atlantic American Corporation - Common Stock,Q,G,N,N,E,,AAME,N
AAMI,Acadian Asset Management Inc. Common Stock,N, ,N,N,,AAMI,AAMI,N
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,N,N,,AAOI,N
AAON,"AAON, Inc. - Common Stock",Q,Q,N,N,N,,AAON,N
AAP,Advance Auto Parts Inc.,N, ,N,N,,AAP,AAP,N
AAPG,Ascentage Pharma Group International - American Depository Shares,Q,G,N,N,N,,AAPG,N
AAPL,Apple Inc. - Common Stock,Q,Q,N,N,N,,AAPL,N
AARD,"Aardvark Therapeutics, Inc. - Common Stock",Q,Q,N,N,N,,AARD,N
AAT,"American Assets Trust, Inc. Common Stock",N, ,N,N,,AAT,AAT,N
AAUC,Allied Gold Corporation Common Shares,N, ,N,N,,AAUC,AAUC,N
AB,AllianceBernstein Holding L.P.  Units,N, ,N,N,,AB,AB,N
ABAT,American Battery Technology Company - Common Stock,Q,S,N,N,N,,ABAT,N
ABBV,AbbVie Inc. Common Stock,N, ,N,N,,ABBV,ABBV,N
ABCB,Ameris Bancorp Common Stock,N, ,N,N,,ABCB,ABCB,N
ABCL,AbCellera Biologics Inc. - Common Shares,Q,Q,N,N,N,,ABCL,N
ABEO,Abeona Therapeutics Inc. - Common Stock,Q,S,N,N,N,,ABEO,N
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N, ,N,N,,ABEV,ABEV,N
ABG,Asbury Automotive Group Inc Common Stock,N, ,N,N,,ABG,ABG,N
ABLV,Able View Global Inc. - Class B Ordinary Shares,Q,S,N,N,D,,ABLV,N
ABLVW,Able View Global Inc. - Warrant,Q,S,N,N,N,,ABLVW,N
ABM,ABM Industries Incorporated Common Stock,N, ,N,N,,ABM,ABM,N
ABNB,"Airbnb, Inc. - Class A Common Stock",Q,Q,N,N,N,,ABNB,N
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Q,Q,N,N,N,,ABOS,N
ABR,Arbor Realty Trust Common Stock,N, ,N,N,,ABR,ABR,N
ABSI,Absci Corporation - Common Stock,Q,Q,N,N,N,,ABSI,N
ABT,Abbott Laboratories Common Stock,N, ,N,N,,ABT,ABT,N
ABTC,American Bitcoin Corp. - Class A Common Stock,Q,S,N,N,N,,ABTC,N
ABTS,Abits Group Inc - Ordinary Shares,Q,S,N,N,N,,ABTS,N
ABUS,Arbutus Biopharma Corporation - Common Stock,Q,Q,N,N,N,,ABUS,N
ABVC,"ABVC BioPharma, Inc. - Common Stock",Q,S,N,N,N,,ABVC,N
ABVX,Abivax SA - American Depositary Shares,Q,G,N,N,N,,ABVX,N
ABX,"Abacus Global Management, Inc. Class A Common Stock",N, ,N,N,,ABX,ABX,N
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",N, ,N,N,,ABXL,ABXL,N
ACA,"Arcosa, Inc. Common Stock ",N, ,N,N,,ACA,ACA,N
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,Q,G,N,N,N,,ACAA,N
ACAAU,Averin Capital Acquisition Corp. - Units,Q,G,N,N,N,,ACAAU,N
ACAAW,Averin Capital Acquisition Corp. - Warrants,Q,G,N,N,N,,ACAAW,N
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,Q,N,N,N,,ACAD,N
ACB,Aurora Cannabis Inc. - Common Shares,Q,S,N,N,N,,ACB,N
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,Q,S,N,N,N,,ACCL,N
ACCO,Acco Brands Corporation Common Stock,N, ,N,N,,ACCO,ACCO,N
ACCS,ACCESS Newswire Inc. Common Stock,A, ,N,N,,ACCS,ACCS,N
ACDC,ProFrac Holding Corp. - Class A Common Stock,Q,Q,N,N,N,,ACDC,N
ACEL,"Accel Entertainment, Inc. ",N, ,N,N,,ACEL,ACEL,N
ACET,"Adicet Bio, Inc. - Common Stock",Q,S,N,N,N,,ACET,N
ACFN,"Acorn Energy, Inc. - Common Stock",Q,S,N,N,N,,ACFN,N
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,Q,G,N,N,N,,ACGC,N
ACGCU,ACP Holdings Acquisition Corp. - Units,Q,G,N,N,N,,ACGCU,N
ACGCW,ACP Holdings Acquisition Corp. - Warrants,Q,G,N,N,N,,ACGCW,N
ACGL,Arch Capital Group Ltd. - Common Stock,Q,Q,N,N,N,,ACGL,N
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Q,Q,N,N,N,,ACGLN,N
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,Q,N,N,N,,ACGLO,N
ACH,"Accendra Health, Inc. Common Stock",N, ,N,N,,ACH,ACH,N
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,Q,N,N,N,,ACHC,N
