institution,cik,type
JPMorgan Chase,19617,Bank
Bank of America,70858,Bank
Citigroup,831001,Bank
Blackstone,1393818,Private Equity / Alt Manager
Apollo Global Management,1858681,Private Equity / Alt Manager
KKR,1404912,Private Equity / Alt Manager
Ares Management,1176948,Private Equity / Alt Manager
The Carlyle Group,1527166,Private Equity / Alt Manager
TPG,1880661,Private Equity / Alt Manager
Blue Owl Capital,1823945,Private Equity / Alt Manager
Bridgewater Associates,1350694,Hedge Fund
Renaissance Technologies,1037389,Hedge Fund
Citadel Advisors,1423053,Hedge Fund
Millennium Management,1273087,Hedge Fund
Two Sigma,1488542,Hedge Fund
