ticker,company
NVDA,Nvidia
AVGO,Broadcom
MU,Micron
RKLB,Rocket Lab
ASTS,AST SpaceMobile
IONQ,IonQ
AAPL,Apple
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet
TSLA,Tesla
META,Meta Platforms
CORZ,Core Scientific
BETA,Beta Technologies
DT,Dynatrace
TENB, Tenable Holdings
TXG,10x Genomics
CELH, Celsius Holdings
NFTLX, Netflix
ISRG, Intuitive Surgical
TMUS, T-Mobile US
LITE, Lumentum Holdings
CIEN, Ciena Corporation
STX, Seagate Technology
ADBE, Adobe Inc.
WDC, Western Digital
CRDO, Credo Technology Group
ALAB, Astera Labs
CEG, Constellation Energy
TLN, Talen Energy
BE, Bloom Energy
POWL, Powell Industries
MRVL, Marvell Technology
AMD, Advanced Micro Devices
ALOY, REalloys Inc.
GS, Goldman Sachs
JPM, JPMorgan Chase
BAC, Bank of America
WFC, Wells Fargo
C, Citigroup
V, Visa
MA, Mastercard
PYPL, PayPal
ASTS, AST SpaceMobile
SNOW, Snowflake
WDAY, Workday
MDB, MongoDB
OKTA, Okta
GENB, General Biotechnologies

